SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,3387,3387,0,0,0,-745,-745,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,428,129,299,0,0,4,3,1,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,3161,1317,1821,23,0,311,192,118,1,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,2509,1364,1126,19,0,300,231,69,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,2374,1612,754,8,0,143,83,60,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,2867,1440,1398,29,0,68,1,64,3,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,2298,781,1440,77,0,123,73,48,2,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,3168,1258,1813,97,0,229,155,70,4,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2385,690,1695,0,0,34,4,30,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,1038,381,652,5,0,63,27,36,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,1031,450,572,9,0,76,43,31,2,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,850,627,214,9,0,204,160,44,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,1328,525,791,12,0,51,-104,154,1,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,495,348,140,7,0,76,73,0,3,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,1611,774,828,9,0,84,-277,361,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,1692,837,850,5,0,47,-67,113,1,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,4,4,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,102,38,64,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,10,0,10,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,3,2,1,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,4,0,4,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,4,2,2,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,3,0,3,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,3,3,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,12,12,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,18,13,5,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,133,116,17,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1,0,1,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,5,2,3,0,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,0,1,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,1,1,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,28,19,7,2,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,2,1,1,0,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,4,4,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,85,84,0,1,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,150,94,55,1,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,58,42,16,0,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,24,17,7,0,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,98,16,82,0,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,16,16,0,0,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,52,52,0,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,102,102,0,0,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,96,90,6,0,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,334,329,5,0,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,77,72,5,0,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,89,80,9,0,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,57,38,4,0,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,272,184,88,0,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,78,71,5,2,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,267,267,0,0,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,145,91,54,0,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,215,193,21,1,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,6233,5837,386,10,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,41,31,7,3,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,106,86,20,0,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,86,76,10,0,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,85,79,6,0,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,21,21,0,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,49,21,28,0,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,330,304,25,1,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,28,19,9,0,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,29,2,26,1,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,122,86,35,1,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,7,6,1,0,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,114,108,6,0,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,234,36,197,1,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,28,28,0,0,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,166,40,124,2,0,5,3,2,0,,
76,BR,Bihar,BR_Arwal,Arwal,155,41,113,1,0,5,5,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,302,37,264,1,0,0,-46,46,0,,
78,BR,Bihar,BR_Banka,Banka,295,56,239,0,0,7,3,4,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,658,182,472,4,0,19,19,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,915,351,554,10,0,75,57,16,2,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,299,46,249,4,0,7,-20,26,1,,
82,BR,Bihar,BR_Buxar,Buxar,281,51,230,0,0,7,1,6,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,402,68,326,8,0,1,-28,28,1,,
101,BR,Bihar,BR_East Champaran,East Champaran,322,77,239,6,0,11,4,7,0,,
84,BR,Bihar,BR_Gaya,Gaya,370,126,241,3,0,38,20,18,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,419,146,273,0,0,23,18,5,0,,
86,BR,Bihar,BR_Jamui,Jamui,164,71,92,1,0,39,32,7,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,313,51,259,3,0,7,-6,13,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,222,22,198,2,0,3,3,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,410,42,367,1,0,17,-17,34,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,411,92,316,3,0,12,-3,15,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,229,37,190,2,0,0,-17,17,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,176,44,132,0,0,7,7,0,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,258,50,207,1,0,11,7,4,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,585,77,506,2,0,9,-66,75,0,,
95,BR,Bihar,BR_Munger,Munger,517,166,350,1,0,15,15,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,639,203,431,5,0,38,-13,51,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,450,120,325,5,0,6,-76,82,0,,
98,BR,Bihar,BR_Nawada,Nawada,484,167,314,3,0,69,63,6,0,,
100,BR,Bihar,BR_Patna,Patna,1691,783,894,14,0,133,40,92,1,,
102,BR,Bihar,BR_Purnia,Purnia,363,44,319,0,0,18,-14,32,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,416,57,353,6,0,4,-10,14,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,296,48,247,1,0,20,-41,60,1,,
105,BR,Bihar,BR_Samastipur,Samastipur,436,70,359,7,0,24,8,16,0,,
106,BR,Bihar,BR_Saran,Saran,330,89,236,5,0,27,20,7,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,193,41,152,0,0,5,5,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,110,18,91,1,0,2,2,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,168,22,143,3,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,563,103,455,5,0,16,-23,39,0,,
111,BR,Bihar,BR_Supaul,Supaul,357,67,290,0,0,12,12,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,340,125,211,4,0,17,5,12,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,334,100,230,4,0,0,-7,6,1,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,549,128,413,8,0,13,7,5,1,,
0,CT,Chhattisgarh,CT_Other State,Other State,3,1,1,1,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,59,5,54,0,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,291,44,247,0,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,153,20,133,0,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,84,24,60,0,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,52,26,25,1,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,17,15,2,0,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,286,83,201,2,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,52,34,18,0,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,8,0,7,1,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,188,20,165,3,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,48,5,43,0,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,280,33,246,1,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,190,2,188,0,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,111,1,110,0,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,5,0,5,0,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,340,28,312,0,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,69,10,59,0,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,90,0,89,1,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,123,0,123,0,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,92,69,23,0,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,146,13,131,2,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,602,278,322,2,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,341,30,309,2,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,6,1,5,0,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,31,6,25,0,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,84,28,55,1,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,78,11,67,0,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,3,0,3,0,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,214,103,108,0,3,3,1,2,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,245,128,116,1,0,9,-1,10,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,23,9,13,0,1,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,133,107,26,0,0,0,0,0,0,"Travelled by Road,Train,Flight",
155,GA,Goa,GA_North Goa,North Goa,432,288,141,3,0,0,0,0,0,,
156,GA,Goa,GA_South Goa,South Goa,1124,500,618,6,0,0,0,0,0,,
0,GJ,Gujarat,GJ_Other State,Other State,86,49,36,1,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,22923,3619,17789,1515,0,178,48,126,4,,
158,GJ,Gujarat,GJ_Amreli,Amreli,133,44,80,9,0,4,2,2,0,,
159,GJ,Gujarat,GJ_Anand,Anand,287,27,247,13,0,8,2,6,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,248,15,209,24,0,4,-2,6,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,323,124,184,15,0,12,12,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,401,180,210,11,0,23,5,18,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,556,321,222,13,0,49,39,10,0,,
164,GJ,Gujarat,GJ_Botad,Botad,116,37,76,3,0,2,1,1,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,76,20,54,2,0,1,-1,2,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,127,73,52,2,0,3,2,0,1,,
187,GJ,Gujarat,GJ_Dang,Dang,7,3,4,0,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,29,5,21,3,0,1,1,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,864,219,613,32,0,28,10,18,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,126,74,51,1,0,8,8,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,343,147,187,9,0,11,-18,29,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,270,196,70,4,0,24,24,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,285,95,176,14,0,20,14,6,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,238,88,143,7,0,10,-2,11,1,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,171,51,118,2,0,6,6,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,416,212,189,15,0,19,13,6,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,75,45,27,3,0,7,4,3,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,108,18,90,0,0,7,7,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,240,113,126,1,0,17,0,17,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,236,49,172,15,0,5,0,5,0,,
180,GJ,Gujarat,GJ_Patan,Patan,272,69,184,19,0,5,-5,9,1,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,24,5,17,2,0,1,1,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,609,411,181,17,0,41,41,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,247,90,149,8,0,9,4,5,0,,
184,GJ,Gujarat,GJ_Surat,Surat,7577,2726,4642,209,0,270,131,136,3,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,270,129,131,10,0,10,8,2,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,40,29,11,0,0,0,-2,2,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,2977,821,2107,49,0,72,4,68,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,327,205,117,5,0,17,3,14,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,51,14,37,0,0,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,59,10,48,0,1,0,-1,1,0,,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,272,44,225,3,0,1,1,0,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,303,51,249,3,0,3,2,1,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,35,28,7,0,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,8,3,5,0,0,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,4,3,1,0,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,38,8,28,2,0,0,0,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,55,15,37,2,1,0,0,0,0,,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,41,5,29,0,7,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,175,74,97,0,4,0,0,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,134,22,112,0,0,0,-1,1,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,21,0,21,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,495,112,377,6,0,42,22,20,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,633,171,458,4,0,14,-1,15,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,89,32,56,1,0,0,0,0,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,5198,852,4245,101,0,90,-39,126,3,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,143,28,114,1,0,4,4,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,6748,1035,5609,104,0,170,68,101,1,,
196,HR,Haryana,HR_Hisar,Hisar,427,195,225,7,0,31,12,19,0,,
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,464,136,324,4,0,28,-14,42,0,,
198,HR,Haryana,HR_Jind,Jind,150,50,96,4,0,0,0,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,129,26,103,0,0,0,0,0,0,,
200,HR,Haryana,HR_Karnal,Karnal,494,195,291,8,0,12,11,1,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,190,57,132,1,0,9,3,6,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,423,158,264,1,0,18,8,10,0,,
203,HR,Haryana,HR_Nuh,Nuh,306,74,230,2,0,12,-8,19,1,,
204,HR,Haryana,HR_Palwal,Palwal,445,110,331,4,0,20,20,0,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,141,29,112,0,0,5,3,2,0,,
206,HR,Haryana,HR_Panipat,Panipat,368,186,175,7,0,21,17,4,0,,
207,HR,Haryana,HR_Rewari,Rewari,599,319,275,5,0,56,-31,87,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,899,353,533,13,0,0,0,0,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,191,72,118,1,0,6,0,6,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,1888,676,1190,22,0,110,76,32,2,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,127,25,101,1,0,0,0,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,81,42,37,2,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,86,34,52,0,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,60,17,43,0,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,273,129,141,3,0,0,0,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,17,8,9,0,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,646,361,283,2,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,122,25,97,0,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,113,25,86,2,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,20,12,8,0,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,122,25,96,1,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,243,57,183,3,0,0,0,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,29,1,28,0,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,33,5,27,1,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,249,86,162,1,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,74,19,55,0,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,95,46,49,0,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,70,39,31,0,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,81,12,69,0,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,158,34,124,0,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,354,172,177,5,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,36,27,7,2,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,100,51,49,0,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,364,9,354,1,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,92,35,57,0,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,781,175,592,14,0,6,4,1,1,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,336,44,289,3,0,0,-6,6,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,1288,743,513,32,0,37,36,0,1,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,532,213,307,12,0,4,-11,14,1,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,124,54,68,2,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,161,73,86,2,0,1,0,0,1,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,473,135,329,9,0,21,14,7,0,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,292,81,210,1,0,20,16,4,0,,
